Full company name,Payments to Governments Report,Country,Year
HILAL SABA MINES EXTRACTION AND PROCESSING LIMITED,1375973.0,Afghanistan,2019
ITTIFAQ AZRAHWAL LIMITED,1913089.0,Afghanistan,2019
JAMAL AND CO TRADING LIMITED,183424.0,Afghanistan,2019
JANNAT NIZAM LIMITED,544410.0,Afghanistan,2019
KABUL LEMAR MINERAL STONES PROCESSING CO,65251.0,Afghanistan,2019
KAMRAN BILAL TALC MINES PROCESSING AND EXTRACTION COMPANY,33129.0,Afghanistan,2019
KAMRAN HAROON LIMITED,4039109.0,Afghanistan,2019
KANDAHAR AKHEER MINERALS,466400.0,Afghanistan,2019
KARIMI MAROOFKHEL LIMITED,1550017.0,Afghanistan,2019
KHALID ANWAR NAUMAN SHERZAD LIMITED,19820460.0,Afghanistan,2019
KHOSHAK BROTHERS CO,83514012.0,Afghanistan,2019
KHUSRAW ATTAI LIMITED,690937.0,Afghanistan,2019
MADAN KARAN,11381182.0,Afghanistan,2019
MATI SAMI LIMITED,1772417.0,Afghanistan,2019
MCC CONSORTIUM,9470047.0,Afghanistan,2019
METAL MINING UK,3617050.0,Afghanistan,2019
MILAD GHULAM MUSTAFA LIMITED,4126600.0,Afghanistan,2019
MILAD YOUSUFZAI,2336252.0,Afghanistan,2019
MINISTRY OF MINES AND PETROLEUM AGREEMENTS,2737098.0,Afghanistan,2019
MIR AFZALYAR LIMITED,27522656.0,Afghanistan,2019
MIRWAIS QARIZADA LIMITED,41463411.0,Afghanistan,2019
MISAQ-E SHARQ COMPANY,44755315.0,Afghanistan,2019
MOHAMAD AKRAM YAQUBI,15000.0,Afghanistan,2019
MOHAMMAD EDRIS,31973.0,Afghanistan,2019
MOHAMMAD HARIF SHARIFI LIMITED,586646.0,Afghanistan,2019
MOHAMMAD OMAR NOORZAI LIMITED,78717057.0,Afghanistan,2019
MOHIB NAJIB LIMITED,35519.0,Afghanistan,2019
MOHIBULLAH SAFI BROTHERS LIMITED,12813587.0,Afghanistan,2019
