Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
HIGGINS WINSLOW THEOPILUS,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,HIGGINS WINSLOW THEOPILUS,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
HIGGINS WINSLOW THEOPILUS,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,HIGGINS WINSLOW THEOPILUS,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
HIGGINS WINSLOW THEOPILUS,Guyana Gold Board (GGB),Admin fees,Yes,Yes,HIGGINS WINSLOW THEOPILUS,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
HIGGINS WINSLOW THEOPILUS,Guyana Gold Board (GGB),"Other material payment flows > GYD 1,000,000 (GGB)",Yes,Yes,HIGGINS WINSLOW THEOPILUS,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
HIGGINS WINSLOW THEOPILUS,Guyana Gold Board (GGB),Royalties-,Yes,Yes,HIGGINS WINSLOW THEOPILUS,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Henry Alphonso,Guyana Geology and Mines Commission (GGMC),Annual Licence Rental Charge,Yes,Yes,Henry Alphonso,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Henry Alphonso,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,Henry Alphonso,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Henry Alphonso,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,Henry Alphonso,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Henry Alphonso,Guyana Gold Board (GGB),Admin fees,Yes,Yes,Henry Alphonso,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Henry Alphonso,Guyana Gold Board (GGB),"Other material payment flows > GYD 1,000,000 (GGB)",Yes,Yes,Henry Alphonso,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Henry Alphonso,Guyana Gold Board (GGB),Royalties-,Yes,Yes,Henry Alphonso,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Hopkinson Morris & Shawn,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,Hopkinson Morris & Shawn,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Hopkinson Morris & Shawn,Guyana Gold Board (GGB),Admin fees,Yes,Yes,Hopkinson Morris & Shawn,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Hopkinson Morris & Shawn,Guyana Gold Board (GGB),Royalties-,Yes,Yes,Hopkinson Morris & Shawn,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Innovative Mining,Guyana Geology and Mines Commission (GGMC),Annual Licence Rental Charge,Yes,Yes,Innovative Mining,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Innovative Mining,Guyana Geology and Mines Commission (GGMC),Application fees (Licence),Yes,Yes,Innovative Mining,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Innovative Mining,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,Innovative Mining,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
